Gene_ID	WT1	WT2	WT3	DDX5KD1	DDX5KD2	DDX5KD3
ENSG00000148219	1082	1166	1525	1184	1012	926
ENSG00000148225	158	149	246	171	125	128
ENSG00000148229	5073	4832	6569	3804	3790	3099
ENSG00000148248	17290	15860	21976	14705	18754	16338
ENSG00000148288	0	0	0	0	0	0
ENSG00000148290	1170	925	1286	740	798	761
ENSG00000148291	1391	1098	1680	842	1220	1095
ENSG00000148296	2334	1871	2562	1625	2292	2237
ENSG00000148297	2335	2358	3019	1947	2742	2900
ENSG00000148300	2791	2026	3294	2392	2718	2637
ENSG00000148303	49991	44070	62658	41320	42721	35947
ENSG00000148308	5781	5564	7543	4042	4954	4938
ENSG00000148331	2323	1939	2729	1936	2588	2669
ENSG00000148334	2711	2331	3212	2091	3258	3079
ENSG00000148335	2801	2407	3252	2241	2938	2658
ENSG00000148337	3879	2922	5088	4013	5539	6543
ENSG00000148339	2146	1943	2717	2067	2592	2848
ENSG00000148341	2388	2357	3263	1773	2294	2556
ENSG00000148343	945	982	1244	845	1208	1435
ENSG00000148344	112	119	161	197	302	285
ENSG00000148346	3	3	0	8	4	1
ENSG00000148356	1554	1359	2021	1469	1836	2283
ENSG00000148357	7	10	9	65	4	10
ENSG00000148358	5309	4721	7237	5967	6213	6480
ENSG00000148362	1924	1886	2368	940	1444	1476
ENSG00000148377	1	1	0	2	0	0
ENSG00000148384	976	987	1575	922	1463	1614
ENSG00000148386	0	0	0	0	0	0
ENSG00000148396	6871	6118	10218	7464	9459	11728
ENSG00000148399	1931	1789	2440	1439	1761	2025
ENSG00000148400	3630	3023	5070	3452	6597	8193
ENSG00000148408	33	29	56	92	29	33
ENSG00000148411	6380	5740	8614	4940	7241	7928
ENSG00000148426	65	55	76	68	57	86
ENSG00000148429	5215	4866	7117	5092	5285	4583
ENSG00000148444	2	2	5	1	3	5
ENSG00000148450	30	25	26	55	44	33
ENSG00000148459	1397	1255	1692	1320	1462	1290
ENSG00000148468	3700	3224	5094	5337	6011	6523
ENSG00000148481	2671	2400	3327	2671	2419	2076
ENSG00000148482	51	49	59	21	4	7
ENSG00000148483	17	13	23	22	13	22
ENSG00000148484	4661	3965	5819	5030	5245	4612
ENSG00000148488	1	1	2	29	3	0
ENSG00000148498	12749	12508	16475	16522	16018	15651
ENSG00000148513	1	6	0	27	1	3
ENSG00000148516	13431	12995	16890	12160	10933	9238
ENSG00000148541	2253	1971	2870	2304	2330	1986
ENSG00000148572	1770	1616	2195	1499	1568	1300
ENSG00000148584	4	0	2	17	1	0
ENSG00000148600	1	0	0	2	4	4
ENSG00000148602	0	0	0	6	0	0
ENSG00000148604	0	0	0	0	0	2
ENSG00000148606	4028	3690	5252	5061	5240	5540
ENSG00000148634	5266	4855	6571	7338	6986	6296
ENSG00000148655	8559	8853	10852	14328	12802	12052
ENSG00000148660	3203	3138	4359	2847	3087	3374
ENSG00000148671	4	0	1	3	0	1
ENSG00000148672	11229	10167	13903	9628	9312	7953
ENSG00000148677	22	22	28	7	1	2
ENSG00000148680	7	4	4	40	8	4
ENSG00000148688	3462	2799	4052	2672	2500	1929
ENSG00000148690	1574	1349	1946	1831	1771	1542
ENSG00000148700	15330	13799	18230	12047	11348	9182
ENSG00000148702	4	4	4	8	2	0
ENSG00000148704	980	867	1282	990	1149	1348
ENSG00000148719	1990	1774	2649	2018	2416	2422
ENSG00000148730	10269	9712	13501	9000	9386	8412
ENSG00000148734	0	0	5	9	4	0
ENSG00000148735	18	10	12	14	4	2
ENSG00000148737	8319	8199	11961	11802	12683	13531
ENSG00000148773	18001	16487	24655	19580	20464	21154
ENSG00000148795	0	2	0	0	0	0
ENSG00000148798	1903	1785	2526	1641	2074	1956
ENSG00000148803	536	473	645	569	772	805
ENSG00000148814	404	310	443	495	523	567
ENSG00000148824	86	72	76	62	74	108
ENSG00000148826	0	0	0	2	0	0
ENSG00000148832	81	115	108	97	138	152
ENSG00000148834	4604	3739	5041	3528	3256	2535
ENSG00000148835	1363	1243	1686	1357	1397	1205
ENSG00000148840	2789	2669	3697	3044	4077	4747
ENSG00000148841	2182	1825	2775	2534	3061	3358
ENSG00000148842	1387	1420	1979	1503	1592	1769
ENSG00000148843	9043	7989	11818	10410	11251	11079
ENSG00000148848	2	0	4	79	1	2
ENSG00000148908	1146	963	1325	733	893	798
ENSG00000148925	3713	3391	4173	4606	4238	3524
ENSG00000148926	741	622	1036	1048	1338	1249
ENSG00000148935	7	8	8	69	7	7
ENSG00000148942	69	70	79	78	58	66
ENSG00000148943	6953	6083	8405	5736	5331	3976
ENSG00000148948	14	12	12	379	5	13
ENSG00000148950	2734	2631	3487	2579	2348	1918
ENSG00000148965	0	0	0	0	0	0
ENSG00000148985	560	501	800	587	712	765
ENSG00000149016	2	0	4	0	3	3
ENSG00000149021	6	1	2	1	1	1
ENSG00000149043	4	1	5	4	5	3
ENSG00000149050	0	0	0	5	0	0
ENSG00000149054	2	1	2	16	5	5
ENSG00000149084	7466	6547	9622	6818	6460	4576
ENSG00000149089	5670	5219	6902	4894	4861	4412
ENSG00000149090	143	61	120	33	34	35
ENSG00000149091	5316	4542	7237	4918	7298	8805
ENSG00000149100	17342	14427	20020	13660	12231	10187
ENSG00000149115	3639	2853	4471	4196	6204	7222
ENSG00000149124	0	3	0	21	3	0
ENSG00000149131	5	1	3	1	0	3
ENSG00000149133	0	0	0	0	0	0
ENSG00000149136	20014	16655	25511	18075	19642	18710
ENSG00000149150	870	816	1098	904	1198	1180
ENSG00000149177	64	42	55	165	103	102
ENSG00000149179	5360	4707	6910	7678	8673	8862
ENSG00000149182	5019	4549	6094	3958	4192	4347
ENSG00000149187	12529	11936	17272	14304	15892	16186
ENSG00000149196	3666	3530	4459	3076	3137	2602
ENSG00000149201	81	77	92	91	86	56
ENSG00000149212	31827	28469	39218	19912	19211	13784
ENSG00000149218	1635	1432	2311	1828	1951	1551
ENSG00000149231	3762	3088	4419	2399	2189	1780
ENSG00000149243	2	0	2	2	11	4
ENSG00000149256	2	1	1	192	2	5
ENSG00000149257	22455	19966	27474	32551	45006	41790
ENSG00000149260	269	247	360	443	622	756
ENSG00000149262	3947	3765	5327	5052	5221	4802
ENSG00000149269	3318	3065	4180	2842	2845	2668
ENSG00000149273	46232	36424	49440	35985	38966	30761
ENSG00000149289	6456	6117	8525	5406	5178	4363
ENSG00000149292	1028	1084	1288	1376	1265	1152
ENSG00000149294	981	988	1293	110	26	41
ENSG00000149295	13	19	12	47	35	42
ENSG00000149300	0	0	0	0	0	0
ENSG00000149305	0	0	1	15	1	0
ENSG00000149308	6876	6210	8706	5195	4755	3856
ENSG00000149311	10825	10230	13011	9874	9044	7142
ENSG00000149313	8071	7548	10075	5985	5560	4062
ENSG00000149328	4714	4329	5940	2144	2555	2799
ENSG00000149346	4949	4840	6515	5900	6114	5299
ENSG00000149357	5512	4560	6529	4509	5243	5081
ENSG00000149380	100	74	131	284	276	294
ENSG00000149403	84	64	79	176	45	72
ENSG00000149418	123	116	178	208	251	264
ENSG00000149428	26703	23676	33160	23395	25939	27497
ENSG00000149435	2	3	5	1	3	1
ENSG00000149443	0	0	0	4	0	1
ENSG00000149451	42	36	47	51	83	101
ENSG00000149452	0	1	0	10	0	0
ENSG00000149474	3594	3132	4520	3031	3149	2870
ENSG00000149476	1291	1134	1572	904	1151	1208
ENSG00000149480	11105	9976	13811	8886	10938	9952
ENSG00000149483	1356	1099	1682	995	1183	1041
ENSG00000149485	13411	12543	17133	9248	9891	8497
ENSG00000149488	3	2	5	33	0	1
ENSG00000149489	225	244	218	99	139	151
ENSG00000149499	881	746	1097	724	989	1170
ENSG00000149503	5454	4351	7066	4610	6163	6213
ENSG00000149506	2	8	1	14	29	21
ENSG00000149507	0	0	0	1	1	0
ENSG00000149516	0	0	0	4	0	1
ENSG00000149527	30	11	17	32	36	39
ENSG00000149531	545	470	707	945	880	788
ENSG00000149532	4058	3682	5345	4200	4677	4796
ENSG00000149534	0	0	2	1	0	0
ENSG00000149541	4162	3692	5133	2200	3315	3180
ENSG00000149547	14430	11556	16271	5717	6221	5220
ENSG00000149548	2204	2123	2678	1457	1307	1144
ENSG00000149554	12383	11569	15315	8999	8242	7047
ENSG00000149557	10678	9021	13250	358	349	275
ENSG00000149564	273	271	354	119	164	194
ENSG00000149571	17347	18402	23820	12720	12368	14206
ENSG00000149573	1	3	3	4	0	0
ENSG00000149575	0	2	0	1	0	0
ENSG00000149577	842	695	1062	641	764	854
ENSG00000149582	1252	1135	1560	564	750	738
ENSG00000149591	1197	852	1448	1378	1724	1512
ENSG00000149596	1	3	8	30	2	7
ENSG00000149599	43	39	58	63	65	98
ENSG00000149600	0	0	2	0	2	1
ENSG00000149609	38	12	31	29	32	42
ENSG00000149633	0	2	8	13	0	1
ENSG00000149634	24	10	39	14	32	34
ENSG00000149635	0	0	0	3	0	0
ENSG00000149636	2467	2245	2904	2459	2310	2199
ENSG00000149639	8192	8071	12209	12172	15992	19408
ENSG00000149646	703	605	875	354	465	369
ENSG00000149651	2	0	0	1	0	0
ENSG00000149654	23	21	44	57	35	33
ENSG00000149656	2	2	2	7	0	3
ENSG00000149657	4369	3648	5394	5394	6860	6610
ENSG00000149658	3682	3304	4826	5504	6745	6414
ENSG00000149679	903	797	1228	1134	1624	1629
ENSG00000149716	1057	971	1237	1035	1285	1410
ENSG00000149735	4	7	3	5	9	8
ENSG00000149742	1	0	0	8	0	0
ENSG00000149743	1292	1316	1763	1117	1465	1420
ENSG00000149761	1580	1519	2044	1171	1707	1614
ENSG00000149781	64	55	74	86	126	130
ENSG00000149782	3530	3055	4671	3133	4606	4931
ENSG00000149792	5074	5044	6305	4214	4779	4334
ENSG00000149798	217	183	282	213	333	334
ENSG00000149806	15467	11506	15456	9656	11062	10169
ENSG00000149809	2361	1419	2996	2336	3371	3134
ENSG00000149823	5077	5045	7170	3767	6445	6693
ENSG00000149922	35	33	51	11	28	32
ENSG00000149923	7601	6640	9476	5643	7613	7393
ENSG00000149925	3	1	7	10	3	9
ENSG00000149926	28	41	37	37	36	55
ENSG00000149927	85	76	85	41	86	82
ENSG00000149929	1977	1746	2324	1228	1594	1601
ENSG00000149930	6483	6303	8477	5606	7640	8111
ENSG00000149932	3198	2810	3830	2362	2727	2585
ENSG00000149948	49	46	63	245	169	168
ENSG00000149968	0	0	4	0	0	0
ENSG00000149970	5665	5510	7301	7383	7126	5882
ENSG00000149972	25	20	23	343	7	15
ENSG00000150045	9	1	4	8	2	0
ENSG00000150048	3	0	2	10	0	0
ENSG00000150051	1	0	5	15	0	1
ENSG00000150054	13	5	13	80	9	9
ENSG00000150093	23047	20239	26556	23201	21417	17818
ENSG00000150175	0	0	1	4	0	0
ENSG00000150201	2	2	0	3	0	1
ENSG00000150244	1	0	0	3	0	0
ENSG00000150261	0	0	0	0	0	0
ENSG00000150269	0	0	0	0	0	0
ENSG00000150275	18	20	19	394	3	8
ENSG00000150276	1	0	0	3	0	0
ENSG00000150281	70	46	80	45	68	69
ENSG00000150316	5499	4429	5582	4263	4199	3422
ENSG00000150337	0	0	0	0	0	0
ENSG00000150347	17512	17197	23953	24138	24256	22350
ENSG00000150361	9	1	1	82	2	2
ENSG00000150394	25	7	21	92	18	4
ENSG00000150401	1880	1720	2500	1988	2184	2188
ENSG00000150403	6094	5504	7927	5380	6039	5708
ENSG00000150433	1242	1155	1622	743	760	613
ENSG00000150455	269	233	326	217	294	291
ENSG00000150456	1000	830	1237	1159	1217	1128
ENSG00000150457	2012	1811	2645	2343	2660	2753
ENSG00000150459	9419	7448	11247	7004	6797	5450
ENSG00000150471	6684	7105	8888	6146	5502	4661
ENSG00000150477	35926	34852	46709	51510	50579	43651
ENSG00000150510	1131	1086	1609	778	847	797
ENSG00000150527	3112	3009	3846	4356	3951	3562
ENSG00000150540	193	166	248	24	8	9
ENSG00000150551	6365	6009	8456	3407	4028	3730
ENSG00000150556	659	705	881	1785	1634	1707
ENSG00000150593	2562	2021	2929	2032	2204	1822
ENSG00000150594	3	0	0	2	3	0
ENSG00000150625	2458	2152	2815	151	50	54
ENSG00000150627	2062	1871	2440	1940	1739	1441
ENSG00000150628	23	24	14	30	24	11
ENSG00000150630	2178	2181	2911	3613	3284	3280
ENSG00000150636	11132	10371	13438	11124	9935	8147
ENSG00000150637	132	95	140	123	91	97
ENSG00000150656	6	8	7	22	9	4
ENSG00000150667	1302	1304	1775	2222	1678	1654
ENSG00000150672	641	612	716	1003	509	452
ENSG00000150676	2	1	4	22	5	3
ENSG00000150681	0	0	0	8	0	1
ENSG00000150687	2180	1879	2591	7963	8199	7204
ENSG00000150712	6447	6001	8588	3650	3704	3471
ENSG00000150722	55	52	92	101	33	36
ENSG00000150732	0	0	0	0	0	0
ENSG00000150750	4	0	0	10	0	0
ENSG00000150753	62838	56273	73986	48952	46460	38580
ENSG00000150756	1723	1668	1990	1983	2027	1613
ENSG00000150760	0	2	4	163	2	0
ENSG00000150764	5656	5463	7198	5420	5578	4750
ENSG00000150768	6616	5808	8453	4543	5063	3963
ENSG00000150773	205	209	240	217	182	141
ENSG00000150776	3606	3316	4378	2382	2230	1766
ENSG00000150779	4447	3601	4480	2161	2137	1684
ENSG00000150782	11	22	18	9	8	5
ENSG00000150783	0	0	0	0	0	0
ENSG00000150787	2273	2050	2676	1570	1539	1312
ENSG00000150867	4719	4465	6510	7138	7547	6965
ENSG00000150873	16	7	13	8	6	9
ENSG00000150893	35423	33513	47367	40014	40343	36546
ENSG00000150907	8385	7907	11186	9556	9616	9179
ENSG00000150938	19395	17870	25574	17087	18181	16449
ENSG00000150961	5085	4706	6433	8203	8395	7755
ENSG00000150967	1333	1191	1882	1671	2146	2402
ENSG00000150977	1273	1023	1389	891	1034	992
ENSG00000150990	7636	6790	9972	6329	8709	9480
ENSG00000150991	50755	44320	56801	39683	36374	35977
ENSG00000150995	9062	8955	12085	11119	10989	10836
ENSG00000151005	8	6	5	9	10	4
ENSG00000151006	1	0	0	0	0	1
ENSG00000151012	23896	23486	31151	16963	15314	11911
ENSG00000151014	1462	1285	1961	1725	1983	1909
ENSG00000151023	702	648	882	372	351	432
ENSG00000151025	99	94	126	156	38	42
ENSG00000151033	2	0	0	7	0	0
ENSG00000151062	18	5	16	39	32	23
ENSG00000151065	1428	1266	1806	1443	1591	1278
ENSG00000151067	202	202	278	325	147	167
ENSG00000151079	0	0	0	0	0	0
ENSG00000151090	207	207	281	128	5	6
ENSG00000151092	5927	5443	7138	5303	4842	4100
ENSG00000151093	676	588	720	523	506	390
ENSG00000151116	2652	2474	3132	1766	1682	1354
ENSG00000151117	4	5	5	9	7	8
ENSG00000151131	4972	4766	6305	4101	4235	3431
ENSG00000151135	11177	10007	13368	9528	9026	6755
ENSG00000151136	883	770	1158	224	157	135
ENSG00000151148	3954	3760	5294	4174	4741	4492
ENSG00000151150	15859	15648	21047	20976	18787	18501
ENSG00000151151	2389	2090	3097	2059	2072	1618
ENSG00000151164	34	42	67	23	17	21
ENSG00000151176	2204	2117	3157	1919	2549	3335
ENSG00000151208	9296	7886	12606	14335	17844	20598
ENSG00000151224	10	4	5	4	4	3
ENSG00000151229	6180	5990	7539	8886	8313	7234
ENSG00000151233	5520	4935	6776	4996	4585	3611
ENSG00000151239	24024	20521	26926	14773	13706	9439
ENSG00000151240	7721	7168	10484	10293	11807	13036
ENSG00000151247	7875	6446	8676	7786	7114	5237
ENSG00000151276	7093	6953	9500	11663	11714	11305
ENSG00000151287	849	677	920	585	576	415
ENSG00000151292	11565	10189	13923	10256	8975	7076
ENSG00000151303	0	0	0	0	0	0
ENSG00000151304	8500	8123	10649	8216	7393	6138
ENSG00000151320	557	500	733	819	697	540
ENSG00000151322	18906	20314	25663	22488	19850	18089
ENSG00000151327	3100	2609	3762	3318	3447	2879
ENSG00000151332	1813	1452	2120	2128	2052	1627
ENSG00000151338	4621	4471	5917	6469	6252	5099
ENSG00000151348	10916	9929	13833	14014	14465	12838
ENSG00000151353	1931	1826	2280	1277	1221	1152
ENSG00000151360	8	3	10	24	4	10
ENSG00000151364	364	283	484	418	461	400
ENSG00000151365	2	0	0	4	0	2
ENSG00000151366	3	1	4	1	2	2
ENSG00000151376	286	241	296	202	127	166
ENSG00000151379	1	0	3	0	0	1
ENSG00000151388	43	38	47	105	18	9
ENSG00000151413	2647	2871	3598	4238	3761	3455
ENSG00000151414	8703	7942	10618	10459	9413	7530
ENSG00000151418	1	0	0	5	0	0
ENSG00000151422	10183	9539	12920	8492	7469	6059
ENSG00000151445	2354	2006	2770	1937	2021	1612
ENSG00000151458	13442	12812	17390	13954	13620	11310
ENSG00000151461	5768	5038	6959	6794	6133	5495
ENSG00000151465	8106	7308	9947	6661	6703	5462
ENSG00000151466	4774	4480	6044	5597	5327	4473
ENSG00000151468	2523	2287	3190	658	733	694
ENSG00000151470	375	375	428	255	187	186
ENSG00000151474	10580	10151	14747	11294	12278	13308
ENSG00000151475	21	16	30	60	37	25
ENSG00000151490	542	528	654	125	68	65
ENSG00000151491	20118	19154	26282	26887	25211	22453
ENSG00000151498	1223	1154	1603	816	873	866
ENSG00000151500	4289	3857	4891	2385	2263	1975
ENSG00000151502	5487	4985	7299	3780	4255	4193
ENSG00000151503	11145	10213	14885	9086	8899	8989
ENSG00000151532	6208	6304	8115	8030	7966	7467
ENSG00000151552	1516	1312	1876	1586	1864	1657
ENSG00000151553	4159	3728	5283	5367	5001	3972
ENSG00000151572	7571	7348	9772	11909	11950	10557
ENSG00000151575	3370	3295	4016	2584	2250	1922
ENSG00000151576	3579	3242	4490	3879	3868	3076
ENSG00000151577	1	0	0	23	2	3
ENSG00000151611	182	121	202	215	212	193
ENSG00000151612	6292	6362	9092	13715	14116	14044
ENSG00000151615	0	1	0	2	0	0
ENSG00000151617	4	4	2	30	0	1
ENSG00000151623	1266	1166	1552	275	189	169
ENSG00000151631	0	0	0	5	0	0
ENSG00000151632	0	0	3	7	0	0
ENSG00000151640	394	342	455	1176	1855	2078
ENSG00000151650	0	1	1	14	11	14
ENSG00000151651	41	42	70	38	71	61
ENSG00000151655	1	2	0	15	1	1
ENSG00000151657	825	671	951	775	700	565
ENSG00000151665	2241	1808	2389	1372	1262	1006
ENSG00000151687	847	742	1042	924	1039	877
ENSG00000151689	190	138	193	298	263	257
ENSG00000151690	1833	1638	2377	1855	1937	1682
ENSG00000151692	2338	2247	3205	3395	3569	3524
ENSG00000151693	8857	8827	12252	8376	8828	8636
ENSG00000151694	8415	7435	10401	9013	8424	7621
ENSG00000151702	0	2	0	35	0	0
ENSG00000151704	2	6	6	2	1	0
ENSG00000151715	186	168	237	62	49	46
ENSG00000151718	10647	9741	13789	12052	11523	10436
ENSG00000151725	5669	4957	6178	4226	3642	3099
ENSG00000151726	1135	1090	1433	3894	3886	3474
ENSG00000151729	2742	2416	3495	2664	3008	2501
ENSG00000151743	4983	4325	5912	4023	3935	3407
ENSG00000151746	17027	17323	23334	22894	23386	23497
ENSG00000151748	7956	7004	10364	10179	9906	8474
ENSG00000151773	1	0	0	27	0	0
ENSG00000151778	0	0	1	3	0	0
ENSG00000151779	9683	9334	12181	11660	10804	9501
ENSG00000151789	9796	9502	13120	11267	10490	9240
ENSG00000151790	948	869	1189	83	75	54
ENSG00000151806	5004	4410	6323	4997	4528	3507
ENSG00000151812	8	5	18	78	0	2
ENSG00000151834	3	2	1	56	1	2
ENSG00000151835	85008	83273	111947	116960	107996	87035
ENSG00000151838	2	7	0	18	1	0
ENSG00000151846	303	129	308	116	95	182
ENSG00000151849	3659	3278	4335	3833	3503	3220
ENSG00000151876	759	724	923	488	505	443
ENSG00000151881	1077	967	1306	886	939	753
ENSG00000151882	3	1	1	13	3	1
ENSG00000151883	250	212	285	1587	1449	1143
ENSG00000151892	0	0	0	62	1	1
ENSG00000151893	8906	8086	11926	8785	8835	7518
ENSG00000151914	90388	87397	117151	106021	93513	86573
ENSG00000151917	3051	2806	3880	3308	3162	2665
ENSG00000151923	6087	5634	8186	6573	6356	6113
ENSG00000151929	1568	1264	2167	1937	2479	2492
ENSG00000151948	19	29	23	52	18	12
ENSG00000151952	7	4	13	197	3	4
ENSG00000151962	2	1	1	5	0	0
ENSG00000151963	0	3	0	4	2	6
ENSG00000151967	0	0	0	0	0	0
ENSG00000152034	1	4	0	30	1	3
ENSG00000152049	130	131	166	148	102	81
ENSG00000152056	1263	1031	1531	2128	2248	2009
ENSG00000152061	7424	7553	9861	10474	9288	8717
ENSG00000152076	326	404	533	266	291	350
ENSG00000152078	65	49	74	6	28	43
ENSG00000152082	5973	5426	7063	1890	4017	3843
ENSG00000152086	2	3	2	0	1	0
ENSG00000152092	0	0	1	88	3	0
ENSG00000152093	0	0	0	0	0	0
ENSG00000152102	12637	11810	15963	10112	11458	11001
ENSG00000152104	6221	6052	8805	14397	15012	15306
ENSG00000152117	2228	2020	2746	1933	2523	3079
ENSG00000152127	18562	17676	25583	24886	26359	24909
ENSG00000152128	19093	18384	24230	13586	14462	14142
ENSG00000152133	3682	3237	4280	2377	2159	1753
ENSG00000152137	62	34	61	34	18	27
ENSG00000152147	1892	1728	2015	947	995	736
ENSG00000152154	94	82	134	349	392	276
ENSG00000152192	485	439	639	386	484	391
ENSG00000152193	2815	2371	3057	2548	2235	1743
ENSG00000152207	4	2	0	9	0	1
ENSG00000152208	22255	23213	28985	26059	22745	19606
ENSG00000152213	0	0	0	1	0	0
ENSG00000152214	67	35	76	156	45	27
ENSG00000152217	7126	7154	9795	12276	12190	12097
ENSG00000152219	1734	1467	2008	1599	1521	1167
ENSG00000152223	2751	2727	3624	3844	3855	3780
ENSG00000152229	2336	2102	2868	3093	3194	2980
ENSG00000152234	20197	17834	24347	20640	20365	16915
ENSG00000152240	3971	3389	4226	3168	3131	2557
ENSG00000152242	3167	3046	4432	4340	4631	4017
ENSG00000152253	3530	2942	4195	2739	2630	2329
ENSG00000152254	0	3	2	1	1	0
ENSG00000152256	2231	2066	2818	3295	3270	2760
ENSG00000152266	20	6	22	3	9	5
ENSG00000152270	927	820	1056	162	59	75
ENSG00000152284	3027	2859	4232	4419	5203	6071
ENSG00000152291	7165	7007	10012	7942	8129	8666
ENSG00000152292	91	84	87	74	95	98
ENSG00000152315	47	48	59	113	91	124
ENSG00000152332	27960	26419	35585	26381	25354	18504
ENSG00000152348	2684	2602	3428	2569	2521	2167
ENSG00000152359	4234	3618	4910	2837	2700	2363
ENSG00000152377	1458	1454	1918	675	556	512
ENSG00000152380	564	558	688	394	353	337
ENSG00000152382	2628	2242	3100	2768	2718	2167
ENSG00000152402	3934	3873	5073	141	34	25
ENSG00000152404	3705	3327	4310	2842	2406	2134
ENSG00000152409	2526	2438	3367	2504	2583	2197
ENSG00000152413	6248	5981	7940	5577	5154	4173
ENSG00000152422	3253	3000	3849	3630	3042	2483
ENSG00000152430	3	4	6	22	2	3
ENSG00000152433	0	0	0	0	1	0
ENSG00000152439	204	227	373	233	260	210
ENSG00000152443	1275	1262	1754	2171	1917	1597
ENSG00000152454	750	788	1066	943	894	874
ENSG00000152455	3749	3541	4583	3765	3341	2705
ENSG00000152457	2247	2058	2967	2074	1974	1925
ENSG00000152463	0	0	2	12	0	0
ENSG00000152464	1219	1064	1626	1213	1289	1188
ENSG00000152465	1741	1618	2397	2149	2178	2122
ENSG00000152467	3	3	4	8	1	4
ENSG00000152475	178	201	345	181	236	272
ENSG00000152484	7799	6850	9318	6185	5706	4834
ENSG00000152492	6472	6214	8469	10158	9383	8275
ENSG00000152495	15077	14687	19905	11190	10628	8830
ENSG00000152503	5822	5315	7483	5858	6185	5134
ENSG00000152518	1413	1049	1722	946	1199	1198
ENSG00000152520	7763	7779	10761	9019	8946	8219
ENSG00000152527	3997	3831	5581	3253	2976	2915
ENSG00000152556	6195	5726	7926	6385	6902	6156
ENSG00000152558	25186	21792	29940	16817	15623	11107
ENSG00000152578	2790	2794	3346	1149	926	792
ENSG00000152580	5360	5014	7429	3854	4078	3659
ENSG00000152582	394	356	524	704	613	493
ENSG00000152583	315	246	387	216	178	152
ENSG00000152591	1	2	2	7	0	3
ENSG00000152592	0	0	0	3	0	2
ENSG00000152595	0	0	0	0	0	0
ENSG00000152601	22638	21949	29763	23100	22140	18068
ENSG00000152611	1	4	3	12	1	1
ENSG00000152620	5206	4590	6554	4891	4682	3711
ENSG00000152642	5178	4824	6534	4222	4332	3816
ENSG00000152661	85992	70695	101199	73012	74084	55791
ENSG00000152669	355	303	579	253	507	505
ENSG00000152670	4	3	5	35	1	5
ENSG00000152672	4	2	5	2	1	3
ENSG00000152683	4631	4255	5591	4005	3658	2820
ENSG00000152684	0	0	0	0	0	0
ENSG00000152689	3773	3500	4765	3572	3693	3136
ENSG00000152700	3299	2608	3710	2640	2499	2064
ENSG00000152705	9	6	8	2	13	10
ENSG00000152749	11	8	9	16	3	3
ENSG00000152760	0	0	0	5	0	0
ENSG00000152763	1443	1221	1590	1314	1219	962
ENSG00000152766	0	0	0	6	0	0
ENSG00000152767	10836	9984	14720	11503	12754	13311
ENSG00000152778	3160	2653	3616	2007	1582	1275
ENSG00000152779	40	24	31	92	69	54
ENSG00000152782	2628	2416	3171	3176	3083	2588
ENSG00000152784	234	181	336	349	469	483
ENSG00000152785	2453	2339	3524	1573	1718	1318
ENSG00000152795	17911	13717	19976	12943	12470	10474
ENSG00000152804	503	426	574	340	336	252
ENSG00000152818	18840	17943	24817	25229	24541	21366
ENSG00000152822	174	166	216	139	54	31
ENSG00000152894	18446	18231	23762	27849	26284	23377
ENSG00000152904	0	0	1	2	0	1
ENSG00000152910	0	1	1	62	2	2
ENSG00000152926	2680	2431	3504	3734	3587	2899
ENSG00000152931	4	2	1	17	2	9
ENSG00000152932	29	38	47	110	15	26
ENSG00000152936	6	4	2	56	4	6
ENSG00000152939	26	50	56	42	41	43
ENSG00000152942	5225	4241	5579	3463	3222	2516
ENSG00000152944	5042	4459	6206	4256	3955	3030
ENSG00000152952	19524	16519	23424	20136	18317	13731
ENSG00000152953	18850	19667	26996	23747	24540	25965
ENSG00000152954	15	15	18	24	9	2
ENSG00000152969	457	468	656	461	479	462
ENSG00000152977	0	0	0	31	0	0
ENSG00000152990	21291	20674	28068	26090	25934	23192
ENSG00000153002	0	0	0	11	1	0
ENSG00000153006	5451	4750	6395	4231	4080	3040
ENSG00000153012	44	41	32	51	20	29
ENSG00000153015	5255	4674	6070	5654	5120	4297
ENSG00000153029	774	702	970	521	471	394
ENSG00000153037	1232	1032	1472	854	837	701
ENSG00000153044	2754	2319	3353	1165	1254	1060
ENSG00000153046	7602	7563	9999	11439	11627	10964
ENSG00000153048	6322	5436	7722	4178	5671	5387
ENSG00000153060	4	4	0	21	2	9
ENSG00000153064	1090	1108	1356	424	303	240
ENSG00000153066	2295	2141	2922	2567	2926	2942
ENSG00000153071	0	0	0	8	0	0
ENSG00000153086	1	2	1	25	1	0
ENSG00000153093	4	1	3	87	1	4
ENSG00000153094	2171	1868	2921	3104	3601	3279
ENSG00000153107	6646	6470	8886	7190	7396	6437
ENSG00000153113	21241	18990	27506	23084	20977	19028
ENSG00000153130	3077	2439	3284	1855	1602	1101
ENSG00000153132	817	653	918	392	342	250
ENSG00000153140	2244	1640	2322	1304	1179	770
ENSG00000153147	16678	14281	19718	17349	15903	13613
ENSG00000153157	111	121	138	371	321	381
ENSG00000153162	2120	1992	2699	5698	6496	6074
ENSG00000153165	212	102	181	110	72	110
ENSG00000153179	6862	6200	8829	6949	7286	6983
ENSG00000153187	70792	55762	84910	75696	79500	72202
ENSG00000153201	16421	15768	21566	20406	17995	15207
ENSG00000153207	15990	14625	19572	24021	22242	19566
ENSG00000153208	2611	2369	3626	2428	2658	2525
ENSG00000153214	1814	1740	2528	1955	1882	1602
ENSG00000153230	0	0	0	0	0	0
