Gene_ID	H69ARSUP1	H69ARSUP2	H69ARSUP3	H69ARWT1	H69ARWT2	H69ARWT3
ENSG00000101493	2294	2118	2260	595	834	537
ENSG00000101542	13	12	10	1	0	2
ENSG00000101544	2425	2478	2405	1045	1416	1055
ENSG00000101546	0	0	0	0	0	0
ENSG00000101557	8100	7591	7644	5521	6145	5957
ENSG00000101558	5461	4865	4947	3858	3856	3829
ENSG00000101574	1637	1547	1440	728	916	895
ENSG00000101577	3991	4027	3741	1739	2569	1908
ENSG00000101596	575	540	561	89	194	213
ENSG00000101605	125	142	133	83	102	76
ENSG00000101608	5176	5234	4836	4420	4849	4448
ENSG00000101624	0	0	0	0	0	0
ENSG00000101638	73	46	52	95	104	93
ENSG00000101639	2574	2432	2329	903	1430	1323
ENSG00000101654	2309	2120	2291	1033	1468	1221
ENSG00000101665	2154	2092	1865	872	1021	736
ENSG00000101670	1927	1897	1618	207	329	220
ENSG00000101680	2	0	0	6	1	1
ENSG00000101695	0	0	0	0	0	0
ENSG00000101745	1189	928	1014	209	368	329
ENSG00000101746	953	701	770	837	1002	1727
ENSG00000101751	934	858	844	381	475	542
ENSG00000101752	3969	3661	3708	1197	1807	1668
ENSG00000101773	3460	3268	3271	1947	2670	2464
ENSG00000101782	1938	1760	1536	910	1007	936
ENSG00000101811	2451	2495	2431	2287	2650	2249
ENSG00000101812	1	0	0	2	0	0
ENSG00000101825	0	1	0	0	0	0
ENSG00000101842	4	2	2	4	5	3
ENSG00000101843	4394	4058	4204	6129	6267	5815
ENSG00000101844	775	912	829	616	766	833
ENSG00000101846	479	451	440	258	346	197
ENSG00000101849	3851	3707	3754	1883	2144	1928
ENSG00000101850	0	1	0	2	1	0
ENSG00000101856	6997	6812	6960	9433	10263	8642
ENSG00000101868	4132	3824	3956	2452	3647	3748
ENSG00000101871	8322	7765	7342	3004	4642	4827
ENSG00000101882	379	414	437	627	601	728
ENSG00000101883	0	0	0	0	0	0
ENSG00000101888	452	396	430	531	656	553
ENSG00000101890	6	4	12	35	36	34
ENSG00000101892	1	1	0	0	0	0
ENSG00000101898	0	0	0	0	0	0
ENSG00000101901	1561	1463	1445	1289	1271	1339
ENSG00000101911	4039	3843	4042	4043	4255	3942
ENSG00000101916	0	1	0	0	1	0
ENSG00000101928	539	443	489	717	643	693
ENSG00000101935	3902	3508	3623	1987	2558	2408
ENSG00000101938	1037	1102	1201	1032	1388	1034
ENSG00000101940	3260	3283	3151	6737	4106	3393
ENSG00000101945	46	65	37	37	40	30
ENSG00000101951	0	0	0	0	0	0
ENSG00000101955	0	0	0	0	0	0
ENSG00000101958	23	26	39	8	12	25
ENSG00000101966	1820	1679	1600	1643	1332	1454
ENSG00000101972	6209	5626	5628	4831	6813	6215
ENSG00000101974	5206	4335	4640	2798	3458	3535
ENSG00000101977	30	33	47	7	22	21
ENSG00000101981	1	0	0	0	0	0
ENSG00000101986	1409	1397	1524	1555	1757	863
ENSG00000101997	1422	1425	1215	2865	1657	1451
ENSG00000102001	4	3	4	7	1	0
ENSG00000102003	213	205	212	293	203	175
ENSG00000102007	5144	5435	5407	7668	6565	4947
ENSG00000102010	0	0	2	0	0	0
ENSG00000102021	0	0	0	0	0	0
ENSG00000102024	11984	11163	10421	7088	9873	8632
ENSG00000102030	46	29	49	50	46	44
ENSG00000102032	428	438	387	1179	638	581
ENSG00000102034	2430	2662	2505	2550	3099	2082
ENSG00000102038	2767	2527	2543	3447	4582	4011
ENSG00000102043	0	2	0	6	10	0
ENSG00000102048	34	32	38	67	79	52
ENSG00000102053	1	0	2	0	1	1
ENSG00000102054	10355	10339	10123	12407	14338	13619
ENSG00000102055	0	0	0	0	0	0
ENSG00000102057	367	419	380	195	304	171
ENSG00000102076	0	0	0	1	0	0
ENSG00000102078	377	430	393	498	490	481
ENSG00000102081	6357	5592	5776	4991	5917	6177
ENSG00000102096	979	969	938	1060	1067	772
ENSG00000102098	1106	1116	1031	647	833	752
ENSG00000102100	1714	1660	1553	1483	1538	1055
ENSG00000102103	2361	2474	2316	5350	3438	3138
ENSG00000102104	66	49	50	22	28	22
ENSG00000102109	608	633	583	1954	889	698
ENSG00000102119	4450	4626	4499	10850	6858	5358
ENSG00000102125	1452	1652	1398	2156	1439	1263
ENSG00000102128	15	14	13	7	5	17
ENSG00000102144	40093	41504	40960	44576	40348	35983
ENSG00000102145	0	0	0	2	2	5
ENSG00000102158	5349	4876	4750	3444	4239	3536
ENSG00000102172	20501	20794	20361	16747	17426	16138
ENSG00000102174	1606	1505	1642	1092	1306	1212
ENSG00000102178	3156	3369	3131	6358	5284	3969
ENSG00000102181	4028	4125	3967	6677	6403	4682
ENSG00000102189	1922	1576	1588	730	1092	1189
ENSG00000102195	8	9	8	31	31	22
ENSG00000102218	2131	1846	1814	1800	1863	1674
ENSG00000102221	2456	2290	2342	1494	2483	2031
ENSG00000102225	10678	11026	10715	12852	10102	7402
ENSG00000102226	10315	10650	10594	14316	12702	9561
ENSG00000102230	1823	1872	1891	1251	1330	1306
ENSG00000102239	3	2	1	0	3	3
ENSG00000102241	6693	6884	6879	8187	9294	9158
ENSG00000102243	0	1	0	1	0	0
ENSG00000102245	0	0	2	0	0	0
ENSG00000102265	0	0	0	0	0	0
ENSG00000102271	0	1	0	0	2	0
ENSG00000102287	2380	2398	2277	475	1027	676
ENSG00000102290	1	1	1	5	4	0
ENSG00000102302	1948	2011	2097	1720	2166	1312
ENSG00000102309	819	953	784	933	823	949
ENSG00000102312	318	327	314	359	273	241
ENSG00000102313	0	0	7	0	4	7
ENSG00000102316	7133	8016	7174	12552	10713	9471
ENSG00000102317	5044	5008	4582	6601	6343	5615
ENSG00000102349	3	0	1	1	3	1
ENSG00000102359	1009	989	804	597	713	530
ENSG00000102362	46	45	26	55	75	64
ENSG00000102383	11	11	8	0	8	4
ENSG00000102384	2096	1976	1942	1133	1222	1298
ENSG00000102385	21	33	24	4	3	7
ENSG00000102387	14	8	18	2	9	3
ENSG00000102390	1051	939	960	1006	1069	1136
ENSG00000102393	0	0	0	0	0	0
ENSG00000102401	1941	1983	1816	1237	1449	1210
ENSG00000102409	0	2	3	0	1	3
ENSG00000102445	0	0	0	0	1	0
ENSG00000102452	2	3	0	1	0	0
ENSG00000102466	2	1	0	2	4	0
ENSG00000102468	1	1	0	0	0	0
ENSG00000102471	681	642	574	853	811	760
ENSG00000102524	54	47	42	1	19	15
ENSG00000102531	9187	7791	7790	2003	3282	2954
ENSG00000102539	8	5	0	1	6	4
ENSG00000102543	299	261	270	231	232	236
ENSG00000102547	391	419	414	284	278	302
ENSG00000102554	2150	1820	1795	1919	2303	1917
ENSG00000102572	2496	2473	2269	1778	2580	1658
ENSG00000102575	0	0	0	0	0	0
ENSG00000102580	3489	2980	2928	1545	1695	1728
ENSG00000102595	1068	1013	1100	475	653	811
ENSG00000102606	2400	2429	2321	1454	1821	1458
ENSG00000102678	125	122	108	11	25	27
ENSG00000102683	0	0	0	0	0	0
ENSG00000102699	0	0	0	0	0	0
ENSG00000102710	3780	3683	3608	2064	2853	2386
ENSG00000102738	1022	954	870	748	844	918
ENSG00000102743	1726	1936	1789	1955	1747	1613
ENSG00000102753	5703	5025	5214	3819	4784	4887
ENSG00000102755	0	2	1	2	2	1
ENSG00000102760	1360	1463	1379	3066	2338	2322
ENSG00000102763	900	865	874	494	628	804
ENSG00000102780	2623	2138	2221	1077	1334	1664
ENSG00000102781	2189	1931	1831	1361	1756	1880
ENSG00000102786	1657	1434	1449	562	859	959
ENSG00000102794	2	0	0	0	0	0
ENSG00000102796	0	0	0	0	0	0
ENSG00000102802	0	0	0	0	0	0
ENSG00000102804	4898	4785	4531	2919	3389	3149
ENSG00000102805	8	16	15	0	1	0
ENSG00000102837	0	0	0	0	0	0
ENSG00000102854	217	224	196	715	419	290
ENSG00000102858	4059	4041	3841	3787	3838	2270
ENSG00000102870	1866	1916	1737	891	1103	755
ENSG00000102871	746	755	714	1859	1170	879
ENSG00000102878	466	488	367	419	283	263
ENSG00000102879	543	554	498	1198	732	466
ENSG00000102882	2092	1997	2036	4788	3114	2225
ENSG00000102886	55	54	58	47	43	35
ENSG00000102890	162	196	138	243	107	120
ENSG00000102891	0	0	0	0	0	0
ENSG00000102893	2539	2335	2447	2316	3179	3077
ENSG00000102897	1008	1032	970	1665	1477	1657
ENSG00000102898	3600	3969	3778	6483	5157	4856
ENSG00000102900	4511	4309	4406	4467	4386	3691
ENSG00000102901	440	437	454	435	441	307
ENSG00000102904	23	38	39	38	45	47
ENSG00000102908	2420	1925	1905	383	710	836
ENSG00000102910	1857	1885	1685	1304	1701	1538
ENSG00000102921	1009	1071	984	770	972	743
ENSG00000102924	0	0	0	0	0	0
ENSG00000102931	295	317	288	264	432	251
ENSG00000102934	63	73	64	121	137	109
ENSG00000102935	634	616	588	69	81	72
ENSG00000102962	0	0	0	1	0	2
ENSG00000102967	670	689	608	956	645	648
ENSG00000102970	2	6	2	23	11	14
ENSG00000102974	4102	4104	3936	2255	2849	2605
ENSG00000102977	1283	1301	1274	3953	2149	1832
ENSG00000102978	3469	3528	3263	4230	4819	3694
ENSG00000102981	297	341	368	1130	618	494
ENSG00000102984	0	0	0	0	0	0
ENSG00000102996	1209	1287	1286	3181	2849	1639
ENSG00000103005	2079	2244	2129	2114	2462	1730
ENSG00000103018	4000	3911	3561	3744	4301	3472
ENSG00000103021	18	15	21	19	37	41
ENSG00000103023	0	0	0	0	0	0
ENSG00000103024	179	202	168	561	299	263
ENSG00000103034	334	382	330	430	438	280
ENSG00000103035	2233	2271	2137	2398	2778	2317
ENSG00000103037	878	984	841	966	1026	764
ENSG00000103042	932	933	842	597	753	482
ENSG00000103043	2870	2985	2900	4059	2800	2442
ENSG00000103044	482	558	504	315	506	283
ENSG00000103047	693	694	648	536	652	654
ENSG00000103051	2835	2943	2755	4568	3870	3311
ENSG00000103056	113	106	90	153	79	87
ENSG00000103061	378	369	349	308	382	321
ENSG00000103064	345	337	294	82	156	123
ENSG00000103066	343	343	350	458	297	225
ENSG00000103067	24	30	16	5	11	8
ENSG00000103089	0	2	0	7	1	0
ENSG00000103091	1668	1621	1592	1513	1427	1206
ENSG00000103111	1505	1568	1467	1166	1388	944
ENSG00000103121	0	0	0	0	0	0
ENSG00000103126	3692	3784	3299	2812	2820	1935
ENSG00000103145	2050	2257	2049	5573	3066	2572
ENSG00000103148	4574	4915	4757	6546	4558	3886
ENSG00000103150	455	481	533	702	652	527
ENSG00000103152	1056	1070	974	3455	2030	1536
ENSG00000103154	51	79	49	261	159	118
ENSG00000103160	1949	1824	1756	2031	2193	1911
ENSG00000103168	1771	1941	1739	1720	1655	1115
ENSG00000103174	0	0	0	0	0	0
ENSG00000103175	19	28	32	202	136	110
ENSG00000103184	5	4	12	21	17	8
ENSG00000103187	10119	9883	9814	10750	7580	6840
ENSG00000103194	4653	4210	4161	2490	3332	3030
ENSG00000103196	142	167	159	263	246	191
ENSG00000103197	4111	4449	4035	3438	2765	2142
ENSG00000103199	326	329	351	231	230	154
ENSG00000103200	1	3	2	1	1	1
ENSG00000103202	5951	6143	6137	16788	11013	8835
ENSG00000103222	386941	404212	383821	116064	141158	94932
ENSG00000103226	14474	13920	13053	3291	5557	3293
ENSG00000103227	691	721	653	377	396	257
ENSG00000103241	81	105	75	64	66	55
ENSG00000103245	321	374	315	448	433	260
ENSG00000103248	886	932	824	729	687	561
ENSG00000103249	3733	4038	3508	3110	2454	1453
ENSG00000103253	897	895	842	4017	2010	1609
ENSG00000103254	1551	1677	1685	7318	3537	2648
ENSG00000103257	14004	14283	13634	11569	11425	6295
ENSG00000103260	6366	5957	6444	29865	16299	10957
ENSG00000103264	417	411	402	345	358	209
ENSG00000103266	2483	2698	2380	6518	3975	3048
ENSG00000103269	429	545	382	350	279	251
ENSG00000103274	394	432	384	476	478	433
ENSG00000103275	5486	6027	5346	9549	7781	5735
ENSG00000103310	0	0	0	0	0	0
ENSG00000103313	4	1	2	5	7	1
ENSG00000103316	1	0	1	0	0	1
ENSG00000103319	2734	3054	2832	3445	3845	2974
ENSG00000103326	3052	3216	2894	1931	1666	1123
ENSG00000103335	3683	3920	3661	3042	2475	1603
ENSG00000103342	2494	2537	2388	1252	2011	1395
ENSG00000103343	0	0	0	0	0	0
ENSG00000103351	676	637	596	721	733	754
ENSG00000103353	5203	5505	5266	4737	5649	4016
ENSG00000103355	8	4	3	2	3	6
ENSG00000103356	2100	2241	1992	1982	2244	1643
ENSG00000103363	3653	3659	3559	13397	7453	6717
ENSG00000103365	6719	6712	6516	5341	6244	4885
ENSG00000103375	0	2	1	3	1	0
ENSG00000103381	1	4	0	4	1	4
ENSG00000103404	1982	1876	1745	1029	1446	1165
ENSG00000103415	2177	2401	2272	6053	4184	3716
ENSG00000103423	4533	4671	4286	6138	6095	4561
ENSG00000103426	0	0	0	0	0	0
ENSG00000103429	2191	2188	2052	1966	2149	1680
ENSG00000103449	530	584	501	371	364	277
ENSG00000103460	18	8	23	4	12	3
ENSG00000103472	0	0	0	0	0	0
ENSG00000103479	1989	1830	1924	942	1731	1164
ENSG00000103485	949	799	829	1652	922	691
ENSG00000103489	49450	48096	47070	7894	12344	9064
ENSG00000103490	1	4	4	5	3	0
ENSG00000103494	511	391	437	338	465	474
ENSG00000103495	2826	2886	2776	4318	3446	1902
ENSG00000103496	957	938	889	1153	916	912
ENSG00000103502	2457	2448	2341	5139	3104	2275
ENSG00000103507	3111	3144	3177	5520	3465	2684
ENSG00000103510	2159	2044	1940	2762	2160	1954
ENSG00000103512	3764	4138	3763	2531	2980	2315
ENSG00000103522	8	4	1	6	4	2
ENSG00000103528	732	656	650	561	438	452
ENSG00000103534	11	26	21	18	19	21
ENSG00000103540	2368	2149	2137	1831	2451	2285
ENSG00000103544	1773	1873	1817	1790	2096	1854
ENSG00000103546	0	0	0	1	0	0
ENSG00000103549	7217	7575	7171	6013	6225	4085
ENSG00000103550	4	6	13	3	3	4
ENSG00000103569	0	0	0	0	0	0
ENSG00000103591	2617	2721	2617	2481	2842	2737
ENSG00000103599	36	23	35	7	29	48
ENSG00000103642	185	181	179	66	113	146
ENSG00000103647	1249	1279	1143	747	838	572
ENSG00000103653	4675	4689	4511	7837	5317	3964
ENSG00000103657	2507	2319	2399	833	1361	1124
ENSG00000103671	749	760	718	779	674	726
ENSG00000103707	597	559	511	847	632	670
ENSG00000103710	3	1	7	20	25	15
ENSG00000103723	157	138	110	76	164	154
ENSG00000103740	18	14	11	20	25	19
ENSG00000103742	40	38	42	20	36	19
ENSG00000103769	2737	2846	2911	4007	3904	3463
ENSG00000103811	234	250	204	712	628	441
ENSG00000103832	9	10	7	0	2	1
ENSG00000103852	414	493	456	338	303	367
ENSG00000103855	4148	4102	4103	4648	3597	2287
ENSG00000103876	542	570	510	1486	816	713
ENSG00000103888	9	8	6	12	18	19
ENSG00000103932	1612	1808	1732	1640	1657	1132
ENSG00000103942	795	817	779	638	613	543
ENSG00000103966	1845	1749	1659	1723	1932	1393
ENSG00000103978	1255	1148	1118	387	766	534
ENSG00000103994	2843	2642	2322	985	1441	1314
ENSG00000103995	1081	1009	1049	371	668	597
ENSG00000104043	3	1	2	0	2	6
ENSG00000104044	91	102	90	101	125	116
ENSG00000104047	823	738	742	695	750	789
ENSG00000104055	4	11	10	10	10	4
ENSG00000104059	2	5	5	0	4	3
ENSG00000104064	1036	1003	920	749	1023	877
ENSG00000104067	7739	7270	7133	2759	3942	3621
ENSG00000104081	1114	1248	1208	1107	1419	891
ENSG00000104093	366	309	313	97	192	168
ENSG00000104112	7	1	10	2	5	6
ENSG00000104129	478	470	449	599	431	394
ENSG00000104131	853	854	770	652	910	780
ENSG00000104133	2444	2376	2284	1451	1763	1583
ENSG00000104140	29	51	36	81	58	37
ENSG00000104142	1636	1599	1452	2027	1513	1054
ENSG00000104147	0	0	0	0	0	0
ENSG00000104154	0	0	0	0	0	0
ENSG00000104164	5	5	5	1	1	2
ENSG00000104177	2325	2180	2088	826	1295	1116
ENSG00000104205	17	27	15	49	32	26
ENSG00000104213	45	40	31	95	48	63
ENSG00000104218	341	311	264	116	189	171
ENSG00000104219	1050	998	1024	1456	1793	1439
ENSG00000104221	449	456	446	466	497	353
ENSG00000104228	774	761	709	660	800	504
ENSG00000104231	1038	872	893	943	966	1052
ENSG00000104237	0	0	0	0	6	0
ENSG00000104267	0	0	0	0	0	0
ENSG00000104290	2522	2253	2335	1587	1772	1751
ENSG00000104299	1206	1290	1282	1477	1373	1203
ENSG00000104312	771	773	713	673	772	808
ENSG00000104313	0	0	0	2	2	0
ENSG00000104320	2562	2169	2285	1653	2446	2444
ENSG00000104321	0	0	0	0	0	0
ENSG00000104324	233	200	224	266	304	333
ENSG00000104325	1424	1564	1486	1643	1517	1558
ENSG00000104327	82	108	84	146	149	165
ENSG00000104331	3473	2996	3034	3079	3744	2746
ENSG00000104332	1	0	0	1	1	0
ENSG00000104341	10762	10851	10813	11717	12870	10286
ENSG00000104343	0	0	0	0	0	0
ENSG00000104356	1798	1843	1665	2141	2058	1848
ENSG00000104361	6	3	4	7	8	11
ENSG00000104365	1677	1731	1582	1035	1325	1080
ENSG00000104368	492	443	504	338	332	228
ENSG00000104369	550	493	502	493	710	638
ENSG00000104371	0	1	1	0	0	1
ENSG00000104375	996	908	954	577	825	885
ENSG00000104381	1261	1270	1258	1054	1384	1318
ENSG00000104388	3228	2872	3007	3925	3845	3646
ENSG00000104408	7054	6905	6775	8654	10523	10046
ENSG00000104412	912	898	901	1002	1065	1218
ENSG00000104413	113	121	102	88	123	145
ENSG00000104415	2	1	3	0	0	0
ENSG00000104419	525	521	538	4	21	16
ENSG00000104427	4	1	3	2	2	8
ENSG00000104432	64	69	55	70	82	94
ENSG00000104435	0	2	0	0	1	0
ENSG00000104442	1719	1638	1517	1543	2015	1937
ENSG00000104447	2867	2455	2525	782	1281	2062
ENSG00000104450	242	211	194	229	355	359
ENSG00000104472	1152	1227	1071	1331	1270	950
ENSG00000104490	15	14	6	4	8	10
ENSG00000104497	116	110	103	62	84	82
ENSG00000104499	0	0	0	1	0	0
ENSG00000104517	6246	5912	5836	1849	3357	2668
ENSG00000104518	625	624	568	3617	1629	1323
ENSG00000104522	1344	1400	1382	5715	3098	2844
ENSG00000104524	642	686	636	2244	1241	963
ENSG00000104529	5144	5576	4480	5516	4296	3437
ENSG00000104537	2	1	4	1	0	0
ENSG00000104549	3236	3168	2960	2291	3064	2407
ENSG00000104611	1	0	0	0	0	0
ENSG00000104613	1851	1928	1765	2380	2389	2273
ENSG00000104626	1395	1267	1277	1164	1314	1270
ENSG00000104635	5502	5289	5376	2728	4010	2730
ENSG00000104643	668	530	524	309	426	420
ENSG00000104660	2496	2348	2316	2269	2006	1741
ENSG00000104671	307	267	292	378	301	361
ENSG00000104679	1169	1204	1041	2095	1275	1061
ENSG00000104687	5701	5629	5502	7747	6313	5394
ENSG00000104689	0	4	1	2	6	1
ENSG00000104691	557	573	517	570	543	495
ENSG00000104695	4900	4459	4505	3770	3330	3375
ENSG00000104714	1962	2123	2003	953	957	953
ENSG00000104722	0	0	0	0	0	0
ENSG00000104723	3602	3486	3517	3587	3891	3559
ENSG00000104728	0	0	0	0	0	0
ENSG00000104731	1714	1766	1610	1659	1182	1063
ENSG00000104738	8988	9370	8374	14778	14616	11816
ENSG00000104755	0	0	0	0	0	0
ENSG00000104756	2837	2650	2635	1371	2064	1939
ENSG00000104760	0	2	3	0	0	0
ENSG00000104763	1585	1444	1404	1589	1995	1653
ENSG00000104765	2883	2638	2828	2024	2166	2240
ENSG00000104774	2076	2192	2192	3331	2621	1786
ENSG00000104783	617	596	623	885	711	508
ENSG00000104804	7	9	2	3	0	5
ENSG00000104805	2849	2904	2786	5480	3516	2637
ENSG00000104808	15	9	7	14	6	7
ENSG00000104812	2068	2016	1998	2381	1914	1397
ENSG00000104814	6	10	8	5	18	7
ENSG00000104818	0	0	0	0	0	0
ENSG00000104823	1895	1886	1885	5569	3631	3330
ENSG00000104824	10435	10776	10523	10053	10528	8140
ENSG00000104825	1551	1568	1322	2630	1921	1513
ENSG00000104826	15	23	17	26	19	15
ENSG00000104827	0	0	0	0	0	0
ENSG00000104833	2	5	4	1	6	8
ENSG00000104835	0	1	0	2	0	0
ENSG00000104848	4	3	0	7	3	0
ENSG00000104852	8525	9488	7988	19034	12334	10243
ENSG00000104853	5050	5169	4894	6447	5111	3707
ENSG00000104856	366	354	364	1518	866	771
ENSG00000104859	2736	2719	2377	2817	2210	1766
ENSG00000104863	165	193	170	437	290	219
ENSG00000104866	0	0	0	0	0	0
ENSG00000104870	254	235	255	629	353	270
ENSG00000104872	1865	1942	1816	4377	2956	2616
ENSG00000104879	142	124	164	589	225	285
ENSG00000104880	3900	3972	3806	3755	3490	2547
ENSG00000104881	723	669	698	638	595	479
ENSG00000104883	25	35	45	160	61	59
ENSG00000104884	1927	1908	1817	3069	2382	1645
ENSG00000104885	9278	9538	8719	5886	5707	3585
ENSG00000104886	2583	2593	2464	6676	3975	3389
ENSG00000104888	19	15	28	19	28	16
ENSG00000104889	0	0	0	0	0	0
ENSG00000104892	14	22	10	23	6	8
ENSG00000104894	6	2	1	0	1	0
ENSG00000104897	8225	9018	8326	16882	10036	8025
ENSG00000104899	3049	3401	3049	5876	3604	3169
ENSG00000104901	36	45	49	118	103	81
ENSG00000104903	10	18	21	0	6	2
ENSG00000104904	0	0	0	0	0	0
ENSG00000104907	3818	4108	3453	8041	4757	4434
ENSG00000104915	2727	2845	2645	7847	4473	3741
ENSG00000104918	0	0	0	0	0	0
ENSG00000104921	0	0	1	0	0	0
ENSG00000104936	870	923	897	837	692	460
ENSG00000104938	0	0	0	0	0	0
ENSG00000104941	5	7	2	0	1	4
ENSG00000104946	1063	986	964	1787	1096	896
ENSG00000104951	75	49	69	267	156	119
ENSG00000104953	46	45	39	56	41	31
ENSG00000104957	1873	2066	1771	2288	1581	1410
ENSG00000104960	1711	1708	1451	2362	1408	1146
ENSG00000104964	8404	9179	8508	15236	11479	8120
ENSG00000104967	326	351	393	338	360	193
ENSG00000104969	8323	8613	8447	18045	11387	9187
ENSG00000104970	0	0	0	0	0	0
ENSG00000104972	0	0	0	1	0	0
ENSG00000104973	3510	3639	3881	8680	5632	4645
ENSG00000104974	0	0	0	0	0	2
ENSG00000104976	1232	1254	1283	3388	1593	1324
ENSG00000104979	2813	3152	3116	8661	5246	4660
ENSG00000104980	5189	5335	4793	8285	5496	4942
ENSG00000104983	550	590	537	1593	936	777
ENSG00000104998	176	179	186	243	250	142
ENSG00000105011	2984	3176	2877	7985	5292	4092
ENSG00000105048	609	630	645	2219	1212	1051
ENSG00000105053	972	1071	906	1464	1196	1020
ENSG00000105058	3350	3458	3391	4372	4401	3678
ENSG00000105063	5785	6050	5833	5678	5994	3764
ENSG00000105072	0	0	0	0	0	0
ENSG00000105085	0	0	0	0	0	0
ENSG00000105088	189	209	206	1601	1024	775
ENSG00000105122	0	0	1	12	3	0
ENSG00000105127	2613	2625	2216	2007	2195	1694
ENSG00000105131	42	35	32	13	30	24
ENSG00000105135	3764	3898	3689	9980	5691	3517
ENSG00000105136	0	0	0	0	0	0
ENSG00000105137	4095	4094	3774	3876	3728	2378
ENSG00000105141	0	1	0	0	1	0
ENSG00000105143	1	1	0	0	0	0
ENSG00000105146	16	19	18	38	27	27
ENSG00000105171	870	965	936	1016	829	923
ENSG00000105173	371	399	302	743	672	490
ENSG00000105176	3281	3046	3101	2758	2955	2862
ENSG00000105185	1952	1930	1928	2442	1974	2103
ENSG00000105186	1825	1735	1851	910	1416	1106
ENSG00000105193	11644	12927	12026	39669	25815	24880
ENSG00000105197	3597	3631	3432	9830	5966	5149
ENSG00000105198	0	0	0	0	0	0
ENSG00000105202	5650	6028	5645	15053	8142	8176
ENSG00000105204	529	508	445	802	561	434
ENSG00000105205	0	0	0	0	0	1
ENSG00000105219	14	13	11	2	1	0
ENSG00000105220	9513	9971	9656	10855	9840	7175
ENSG00000105221	4086	4167	3816	4268	4386	2767
ENSG00000105223	3293	3488	3361	9047	5623	3998
ENSG00000105227	112	125	104	57	43	46
ENSG00000105229	2850	3001	2713	3021	2392	1671
ENSG00000105245	3245	3049	3076	3576	3529	2309
ENSG00000105246	13	5	3	36	25	10
ENSG00000105248	1646	1808	1704	3876	2040	2013
ENSG00000105251	0	4	2	2	5	0
ENSG00000105254	3649	3976	3728	9016	6425	5180
ENSG00000105255	1262	1274	1219	3568	1987	1806
ENSG00000105258	485	569	475	1780	853	677
ENSG00000105261	26	15	16	21	14	16
ENSG00000105270	0	0	0	0	0	0
ENSG00000105278	1	2	0	0	0	0
ENSG00000105281	4555	4278	4051	5628	5604	3327
ENSG00000105287	1473	1496	1504	1137	1096	705
ENSG00000105289	15	25	32	29	8	17
ENSG00000105290	2648	2625	2736	5947	4673	3132
ENSG00000105298	1378	1462	1353	1015	1061	719
ENSG00000105321	1154	1243	1063	2146	1160	944
ENSG00000105323	8322	8828	8538	5039	7865	4355
ENSG00000105325	6292	6398	5679	7181	4517	3433
ENSG00000105327	210	236	202	438	406	293
ENSG00000105329	5325	5322	5234	13026	6118	5758
ENSG00000105339	1065	1117	987	367	447	349
ENSG00000105341	1544	1594	1498	2304	1892	1524
ENSG00000105352	0	0	0	0	0	0
ENSG00000105355	4163	3991	3982	4956	4437	3127
ENSG00000105357	2	3	2	2	1	4
ENSG00000105364	243	219	219	613	391	251
ENSG00000105366	0	0	0	0	0	0
ENSG00000105369	17	20	5	11	4	0
ENSG00000105370	0	0	0	0	0	0
ENSG00000105371	0	0	0	0	0	0
ENSG00000105372	15504	16927	16149	53325	29046	30762
ENSG00000105373	5781	6202	5506	20163	10254	10191
ENSG00000105374	1	0	0	0	0	0
ENSG00000105376	979	1125	1085	2568	2266	1370
ENSG00000105379	0	0	0	0	0	0
ENSG00000105383	1	3	3	24	16	29
ENSG00000105388	0	0	0	0	0	0
ENSG00000105392	0	0	0	4	3	1
ENSG00000105393	0	0	0	0	0	0
ENSG00000105397	5473	6157	5386	5766	5023	3594
ENSG00000105398	0	0	0	0	0	0
ENSG00000105401	11228	11706	11122	20549	13674	12922
ENSG00000105402	405	448	411	579	771	483
ENSG00000105404	113	117	97	407	163	188
ENSG00000105409	0	0	0	0	0	0
ENSG00000105419	923	1003	919	2491	1629	1169
ENSG00000105426	18059	19103	18758	10654	11911	7732
ENSG00000105427	22	30	23	222	86	100
ENSG00000105428	1	0	0	0	0	0
ENSG00000105429	3333	3195	3208	1761	2603	1251
ENSG00000105438	5575	5793	5570	9876	7269	5159
ENSG00000105443	3143	3327	2844	3287	2468	2071
ENSG00000105447	3086	3183	3119	7011	4754	3189
ENSG00000105464	170	189	149	160	140	104
ENSG00000105467	28	35	23	372	252	155
ENSG00000105472	178	203	235	3097	1370	1089
ENSG00000105479	55	79	58	20	41	23
ENSG00000105483	539	588	433	250	279	302
ENSG00000105486	2056	2162	1894	2847	2534	1908
ENSG00000105492	0	0	0	0	0	0
ENSG00000105497	243	240	223	204	198	188
ENSG00000105499	17	22	8	23	12	20
ENSG00000105501	0	0	0	0	0	0
ENSG00000105507	0	0	0	0	0	1
ENSG00000105509	12	5	9	0	6	1
ENSG00000105514	101	117	101	89	110	57
ENSG00000105516	189	216	219	627	355	278
ENSG00000105518	0	0	0	0	0	0
ENSG00000105519	111	108	84	166	118	100
ENSG00000105520	848	822	823	1100	936	579
ENSG00000105523	21	33	29	23	14	11
ENSG00000105538	44	49	44	157	76	77
ENSG00000105549	12	10	5	6	6	8
ENSG00000105550	1	2	0	3	5	6
ENSG00000105552	939	973	899	2429	1259	1150
ENSG00000105556	1551	1548	1404	1341	1163	698
ENSG00000105559	402	368	386	708	469	416
ENSG00000105568	11461	11975	11866	27182	21385	14942
